method,mean,std
dfdt,627.4309715353336,174.82414893158173
kneedle,278.50080558303114,102.58556575106688
lmethod,1770.8886405099463,589.2310888318686
simple-lmethod,62.1940356083086,20.76293914168436
threshold-0.1,13.661429827453565,4.791937132500974
threshold-0.3,14.639859325200572,4.431913919986369
threshold-0.5,14.817100780305529,4.29736881421142
threshold-0.7,13.962144191669413,4.2661885222865665
top-10,13.62375535773162,4.609392689772815
top-20,12.915999560391251,4.893868676520564
top-3,12.936744697219474,4.4777363281940445
top-5,13.753785031322122,3.623579403941044
